Município,Soma de Menor de 10 anos 2014,Soma de 10 a 14 anos 2014,Soma de 15 a 19 anos 2014,Soma de Menor de 10 anos 2015,Soma de 10 a 14 anos 2015,Soma de 15 a 19 anos 2015,Soma de Menor de 10 anos 2016,Soma de 10 a 14 anos 2016,Soma de 15 a 19 anos 2016
Guaraçaí,0,0,21,0,0,12,0,1,20
Guaraci,0,1,17,0,3,22,0,1,15
Guarani d'Oeste,0,0,4,0,0,1,0,0,3
Guarantã,0,0,16,0,1,13,0,1,22
Guararapes,0,1,56,0,1,64,0,2,53
Guararema,0,4,62,0,3,58,0,3,62
Guaratinguetá,0,11,205,0,9,195,0,5,176
Guareí,0,3,29,0,2,25,0,1,42
Guariba,0,6,86,0,2,72,0,1,65
Guarujá,0,50,747,0,30,728,0,27,641
Guarulhos,0,122,3132,0,107,3127,0,97,2799
Guatapará,0,0,33,0,2,15,0,2,19
Guzolândia,0,0,13,0,1,16,0,0,18
Herculândia,0,1,15,0,1,22,0,1,19
Holambra,0,1,23,0,0,37,0,1,25
Hortolândia,0,16,398,0,10,368,0,14,354
Iacanga,0,2,32,0,3,33,0,3,25
Iacri,0,4,10,0,1,9,0,0,11
Iaras,0,1,15,0,0,21,0,2,16
Ibaté,0,5,106,0,6,86,0,4,77
Ibirá,0,1,34,0,0,21,0,0,17
Ibirarema,0,2,14,0,2,19,0,0,12
Ibitinga,0,3,113,0,5,119,0,7,99
Ibiúna,0,9,203,0,8,211,0,6,223
Icém,0,3,20,0,0,20,0,1,11
Iepê,0,2,15,0,0,25,0,0,14
Igaraçu do Tietê,0,4,43,0,2,54,0,3,46
Igarapava,0,5,45,0,0,48,0,1,36
Igaratá,0,2,25,0,0,24,0,1,17
Iguape,0,1,66,0,3,71,0,1,63
Ilhabela,0,2,62,0,2,51,0,2,61
Ilha Comprida,0,1,25,0,2,23,0,0,25
Ilha Solteira,0,1,43,0,1,40,0,0,35
Indaiatuba,0,8,334,0,14,304,0,8,277
Indiana,0,0,8,0,0,11,0,1,11
Indiaporã,0,0,4,0,2,13,0,0,3
Inúbia Paulista,0,0,6,0,1,2,0,0,6
Ipaussu,0,0,35,0,3,30,0,1,30
Iperó,0,5,70,0,4,74,0,1,52
Ipeúna,0,0,20,0,1,16,0,0,12
Ipiguá,0,1,9,0,1,12,0,1,14
Iporanga,0,3,8,0,0,13,0,0,13
Ipuã,0,2,37,0,1,33,0,2,33
Iracemápolis,0,0,31,0,2,29,0,1,31
Irapuã,0,1,22,0,3,12,0,2,12
Irapuru,0,0,18,0,1,10,0,1,10
Itaberá,0,1,56,0,4,59,0,1,45
Itaí,0,6,77,0,2,60,0,1,67
Itajobi,0,1,25,0,3,21,0,3,29
Itaju,0,0,8,0,1,11,0,0,5
Itanhaém,0,11,264,0,15,267,0,12,217
Itaóca,0,1,8,0,0,12,0,0,16
Itapecerica da Serra,0,17,530,0,7,509,0,6,425
Itapetininga,0,12,362,0,14,355,0,11,315
Itapeva,0,16,295,0,7,274,0,11,270
Itapevi,0,21,789,0,16,756,0,18,658
Itapira,0,3,140,0,7,122,0,10,105
Itapirapuã Paulista,0,2,14,0,1,16,0,1,19
Itápolis,0,5,86,0,4,79,0,1,76
Itaporanga,0,2,40,0,2,38,0,2,32
Itapuí,0,0,27,0,1,34,0,2,38
Itapura,0,3,14,0,2,20,0,0,12
Itaquaquecetuba,0,38,1084,0,45,1128,0,27,981
Itararé,0,5,136,0,8,135,0,2,119
Itariri,0,0,30,0,5,28,0,1,28
Itatiba,0,6,198,0,1,174,0,3,162
Itatinga,0,3,42,0,4,51,0,0,57
Itirapina,0,3,25,0,1,24,0,1,24
Itirapuã,0,1,15,0,0,14,0,1,10
Itobi,0,0,10,0,0,13,0,0,14
Itu,0,21,353,0,18,359,0,12,270
Itupeva,0,4,113,0,2,120,0,0,94
Ituverava,0,3,53,0,2,77,0,3,58
Jaborandi,0,0,8,0,0,11,0,0,4
Jaboticabal,0,6,120,0,4,98,0,4,86
Jacareí,0,13,468,0,15,471,0,13,369
Jaci,0,0,13,0,0,8,0,1,14
Jacupiranga,0,0,47,0,3,45,0,0,44
Jaguariúna,0,1,82,0,2,110,0,1,92
Jales,0,5,48,0,4,49,0,4,67
Jambeiro,0,0,8,0,3,13,0,1,7
Jandira,0,13,285,0,7,267,0,8,254
Jardinópolis,0,1,84,0,3,86,0,4,91
Jarinu,0,2,75,0,1,84,0,1,62
Jaú,0,16,249,0,14,251,0,14,206
Jeriquara,0,0,5,0,1,9,0,0,7
Joanópolis,0,4,27,0,0,28,0,0,26
João Ramalho,0,0,12,0,1,19,0,0,18
José Bonifácio,0,4,68,0,3,81,0,5,54
Júlio Mesquita,0,2,13,0,0,13,0,2,10
Jumirim,0,0,4,0,1,5,0,1,7
Jundiaí,0,24,621,0,24,565,0,17,575
Junqueirópolis,0,1,39,0,0,27,0,2,39
Juquiá,0,4,78,0,3,59,0,1,56
Juquitiba,0,4,107,0,6,84,0,0,91
Lagoinha,0,1,6,0,1,5,0,0,4
Laranjal Paulista,0,1,79,0,0,66,0,2,70
Lavínia,0,0,5,0,0,11,0,0,6
Lavrinhas,0,1,21,0,0,22,0,0,16
Leme,0,14,237,0,11,201,0,14,165
Lençóis Paulista,0,4,148,0,5,135,0,1,95
Limeira,0,22,469,0,14,443,0,12,398
Lindóia,0,0,21,0,0,8,0,0,8
Lins,0,8,131,0,8,125,0,5,108
Lorena,0,13,210,0,9,209,0,6,151
Lourdes,0,0,2,0,0,6,0,0,1
Louveira,0,6,88,0,0,83,0,2,85
Lucélia,0,4,34,0,1,27,0,1,17
Lucianópolis,0,1,4,0,0,6,0,1,5
Luís Antônio,0,2,30,0,2,29,0,0,15
Luiziânia,0,2,14,0,1,20,0,1,7
Lupércio,0,0,13,0,1,7,0,0,10
Lutécia,0,0,10,0,0,1,0,0,3
Macatuba,0,2,37,0,0,38,0,4,26
Macaubal,0,0,9,0,1,19,0,0,14
Macedônia,0,1,2,0,0,5,0,0,8
Magda,0,0,9,0,0,5,0,0,6
Mairinque,0,2,108,0,5,97,0,3,98
Mairiporã,0,6,176,0,7,168,0,4,145
Manduri,0,0,17,0,1,15,0,1,15
Marabá Paulista,0,0,2,0,1,6,0,0,7
Maracaí,0,2,30,0,1,27,0,0,23
Marapoama,0,0,5,0,1,3,0,0,2
Mariápolis,0,1,7,0,0,8,0,0,6
Marília,0,22,354,0,12,364,0,11,361
Marinópolis,0,0,4,0,0,2,0,0,2
Martinópolis,0,4,66,0,2,59,0,2,38
Matão,0,5,152,0,9,151,0,6,110
Mauá,0,23,882,0,25,824,0,28,803
Mendonça,0,1,12,0,0,7,0,0,10
Meridiano,0,0,8,0,0,9,0,0,4
Mesópolis,0,1,5,0,0,5,0,0,4
Miguelópolis,0,3,64,0,5,53,0,0,38
Mineiros do Tietê,0,2,35,0,3,23,0,1,15
Miracatu,0,2,72,0,3,73,0,2,63
Mira Estrela,0,0,7,0,0,4,0,0,5
Mirandópolis,0,3,62,0,0,52,0,1,32
Mirante do Paranapanema,0,2,43,0,1,29,0,2,36
Mirassol,0,3,93,0,2,83,0,2,71
Mirassolândia,0,1,4,0,0,9,0,0,8
Mococa,0,8,147,0,5,121,0,1,124
Mogi das Cruzes,0,30,979,0,36,940,0,27,877
Mogi Guaçu,0,8,261,0,6,241,0,7,256
Mogi Mirim,0,13,174,0,5,139,0,3,145
Mombuca,0,0,7,0,0,13,0,0,11
Monções,0,0,1,0,0,1,0,0,5
Mongaguá,0,5,157,0,4,114,0,8,139
Monte Alegre do Sul,0,0,6,0,0,7,0,0,5
Monte Alto,0,3,70,0,0,58,0,1,51
Monte Aprazível,0,0,34,0,4,21,0,1,27
Monte Azul Paulista,0,3,41,0,1,31,0,0,29
Monte Castelo,0,2,6,0,0,11,0,0,8
Monteiro Lobato,0,0,8,0,0,4,0,0,3
Monte Mor,0,4,170,0,10,180,0,9,153
Morro Agudo,0,7,80,0,2,90,0,5,68
Morungaba,0,4,24,0,0,31,0,1,20
Motuca,0,0,7,0,0,10,0,0,6
Murutinga do Sul,0,0,10,0,1,6,0,2,7
Nantes,0,0,10,0,0,11,0,0,6
Narandiba,0,2,22,0,0,16,0,1,20
Natividade da Serra,0,1,14,0,0,11,0,0,13
Nazaré Paulista,0,0,42,0,1,43,0,3,43
Neves Paulista,0,0,11,0,0,10,0,0,10
Nhandeara,0,0,29,0,0,11,0,0,8
Nipoã,0,2,17,0,0,19,0,2,15
Nova Aliança,0,0,9,0,2,17,0,0,8
Nova Campina,0,0,34,0,1,44,0,2,34
Nova Canaã Paulista,0,0,3,0,1,4,0,0,2
Nova Castilho,0,0,0,0,0,0,0,0,5
Nova Europa,0,4,31,0,0,37,0,0,17
Nova Granada,0,2,63,0,2,46,0,1,46
Nova Guataporanga,0,0,6,0,0,2,0,0,7
Nova Independência,0,0,6,0,0,11,0,1,10
Novais,0,0,10,0,0,8,0,0,8
Nova Luzitânia,0,0,4,0,1,4,0,0,4
Nova Odessa,0,5,80,0,7,67,0,2,72
Novo Horizonte,0,2,74,0,1,83,0,1,81
Nuporanga,0,0,10,0,0,12,0,0,11
Ocauçu,0,1,13,0,2,19,0,1,12
Óleo,0,1,4,0,1,5,0,0,3
Olímpia,0,3,132,0,10,110,0,6,117
Onda Verde,0,0,10,0,1,4,0,0,8
Oriente,0,0,12,0,2,10,0,0,12
Orindiúva,0,0,9,0,0,3,0,0,9
Orlândia,0,1,66,0,1,66,0,2,62
Osasco,0,63,1357,0,49,1452,0,44,1336
Oscar Bressane,0,0,3,0,0,6,0,0,3
Osvaldo Cruz,0,3,60,0,1,39,0,5,40
Ourinhos,0,7,220,0,11,212,0,10,169
Ouroeste,0,0,21,0,0,16,0,0,19
Ouro Verde,0,1,15,0,1,19,0,5,16
Pacaembu,0,1,21,0,1,13,0,0,20
Palestina,0,3,17,0,0,17,0,0,12
Palmares Paulista,0,1,23,0,2,26,0,1,19
Palmeira d'Oeste,0,1,16,0,0,12,0,1,8
Palmital,0,3,47,0,2,44,0,2,42
Panorama,0,3,62,0,1,48,0,2,33
Paraguaçu Paulista,0,4,106,0,4,97,0,2,93
Paraibuna,0,0,34,0,2,41,0,0,36
Paraíso,0,0,8,0,0,10,0,1,10
Paranapanema,0,1,66,0,0,73,0,2,71
Paranapuã,0,1,11,0,0,2,0,1,10
Parapuã,0,0,25,0,2,23,0,1,30
Pardinho,0,0,18,0,1,18,0,1,19
Pariquera-Açu,0,2,56,0,2,59,0,0,48
Parisi,0,0,1,0,0,4,0,1,8
Patrocínio Paulista,0,2,48,0,1,39,0,1,36
Paulicéia,0,1,33,0,1,27,0,3,17
Paulínia,0,3,157,0,4,141,0,3,126
Paulistânia,0,0,4,0,0,1,0,0,0
Paulo de Faria,0,0,13,0,0,20,0,1,17
Pederneiras,0,8,137,0,4,102,0,1,86
Pedra Bela,0,1,13,0,0,14,0,0,14
Pedranópolis,0,0,3,0,0,3,0,0,4
Pedregulho,0,2,32,0,1,46,0,1,25
Pedreira,0,2,47,0,3,52,0,1,43
Pedrinhas Paulista,0,0,7,0,0,2,0,1,2
Pedro de Toledo,0,0,26,0,2,17,0,0,25
Penápolis,0,9,111,0,10,115,0,2,115
Pereira Barreto,0,6,72,0,1,42,0,2,51
Pereiras,0,0,25,0,2,23,0,0,23
Peruíbe,0,13,206,0,7,177,0,7,182
Piacatu,0,0,9,0,0,12,0,2,8
Piedade,0,4,125,0,7,139,0,2,126
Pilar do Sul,0,3,80,0,5,61,0,2,67
Pindamonhangaba,0,14,379,0,11,340,0,10,306
Pindorama,0,0,34,0,0,28,0,0,26
Pinhalzinho,0,1,26,0,1,25,0,2,22
Piquerobi,0,0,3,0,0,2,0,0,0
Piquete,0,2,30,0,0,18,0,0,30
Piracaia,0,2,56,0,1,55,0,2,49
Piracicaba,0,45,694,0,30,635,0,32,560
Piraju,0,5,44,0,3,74,0,2,49
Pirajuí,0,3,27,0,2,25,0,1,36
Pirangi,0,1,16,0,2,14,0,1,8
Pirapora do Bom Jesus,0,1,51,0,2,44,0,1,44
Pirapozinho,0,2,52,0,1,49,0,3,39
Pirassununga,0,5,103,0,7,119,0,4,93
Piratininga,0,2,23,0,1,21,0,0,17
Pitangueiras,0,8,88,0,7,81,0,4,83
Planalto,0,1,15,0,0,9,0,0,13
Platina,0,0,13,0,0,14,0,0,8
Poá,0,9,248,0,4,217,0,9,180
Poloni,0,2,11,0,0,9,0,0,9
Pompéia,0,2,33,0,0,25,0,3,27
Pongaí,0,0,6,0,0,10,0,0,2
Pontal,0,7,110,0,10,113,0,4,98
Pontalinda,0,0,9,0,1,13,0,0,11
Pontes Gestal,0,0,2,0,0,8,0,0,3
Populina,0,0,9,0,0,3,0,0,10
Porangaba,0,1,15,0,1,11,0,1,12
Porto Feliz,0,3,121,0,1,111,0,0,96
Porto Ferreira,0,8,110,0,3,114,0,8,97
